index,label,split
0,2,train
1,3,train
2,3,train
3,4,test
4,3,train
5,0,train
6,0,validation
7,0,train
8,0,train
9,1,validation
10,3,train
11,2,validation
12,4,train
13,1,train
14,2,test
15,1,train
16,1,test
17,2,train
18,3,train
19,3,train
20,3,train
21,0,validation
22,3,validation
23,2,train
24,1,validation
25,1,test
26,1,train
27,3,train
28,4,train
29,2,train
30,2,test
31,3,test
32,2,train
33,4,train
34,2,train
35,2,train
36,0,train
37,0,train
38,0,train
39,2,test
40,0,train
41,3,train
42,0,train
43,1,train
44,1,train
45,1,test
46,2,train
47,1,test
48,3,test
49,4,train
50,4,train
51,0,train
52,0,train
53,2,train
54,3,test
55,2,train
56,2,train
57,3,train
58,4,train
59,4,test
60,1,train
61,4,train
62,2,train
63,2,test
64,0,train
65,0,test
66,1,test
67,1,train
68,0,test
69,3,train
70,0,train
71,4,train
72,4,train
73,3,train
74,0,train
75,4,train
76,3,validation
77,3,test
78,2,train
79,4,train
80,4,train
81,0,train
82,2,train
83,2,train
84,1,validation
85,3,train
86,2,validation
87,0,train
88,3,train
89,4,train
90,3,test
91,4,validation
92,1,train
93,4,train
94,2,validation
95,3,train
96,0,train
97,1,train
98,2,train
99,1,train
100,3,train
101,0,validation
102,1,train
103,4,train
104,1,train
105,0,validation
106,2,train
107,3,train
108,0,train
109,0,train
110,4,validation
111,0,train
112,4,train
113,4,train
114,1,train
115,0,train
116,3,train
117,0,train
118,4,train
119,0,test
120,3,train
121,1,train
122,4,train
123,2,train
124,2,train
125,2,test
126,1,test
127,2,train
128,1,train
129,1,train
130,0,train
131,1,test
132,2,test
133,4,train
134,3,train
135,3,train
136,0,train
137,3,test
138,2,train
139,2,validation
140,1,train
141,0,train
142,3,train
143,2,train
144,4,train
145,2,validation
146,0,train
147,3,train
148,4,test
149,3,validation
150,3,train
151,1,train
152,3,train
153,4,train
154,2,train
155,2,train
156,0,test
157,0,train
158,1,train
159,3,train
160,0,test
161,0,test
162,4,test
163,3,train
164,0,train
165,3,train
166,3,train
167,2,train
168,0,train
169,2,test
170,1,train
171,4,train
172,0,train
173,3,test
174,3,train
175,3,train
176,0,train
177,2,test
178,1,train
