index,real,predicha,clase_real,clase_predicha,confianza,p_dandelion,p_daisy,p_tulips,p_sunflowers,p_roses
3,4,4,roses,roses,0.98999,6.748591e-10,5.7193853e-07,0.00074312085,0.009266328,0.98999
14,2,1,tulips,daisy,0.6018592,0.00026405542,0.6018592,0.3957988,0.0020162957,6.162353e-05
16,1,1,daisy,daisy,0.999908,8.532152e-05,0.999908,1.2012673e-07,6.5726854e-06,4.922899e-09
25,1,1,daisy,daisy,0.995161,4.1146137e-05,0.995161,3.658256e-05,0.0047528595,8.407627e-06
30,2,2,tulips,tulips,0.9999894,2.1585084e-08,4.1177377e-06,0.9999894,5.441098e-06,9.501437e-07
31,3,3,sunflowers,sunflowers,0.9999999,1.3073855e-09,1.1353391e-07,9.961808e-09,0.9999999,2.4723194e-08
39,2,2,tulips,tulips,0.68617773,1.1592126e-06,9.201185e-06,0.68617773,5.0175233e-12,0.3138119
45,1,1,daisy,daisy,0.89249825,0.06530416,0.89249825,0.00015012574,0.038802333,0.0032451288
47,1,1,daisy,daisy,0.9999969,9.781598e-08,0.9999969,2.6446176e-09,2.962076e-06,1.4578191e-09
48,3,3,sunflowers,sunflowers,0.9999994,5.368233e-07,1.4317463e-09,1.2497027e-11,0.9999994,3.0107438e-12
54,3,3,sunflowers,sunflowers,0.9233869,0.001910916,0.056365862,0.014818844,0.9233869,0.0035174366
59,4,4,roses,roses,0.9999975,1.2058496e-08,2.0242346e-08,2.52572e-06,3.0405695e-11,0.9999975
63,2,2,tulips,tulips,0.9999999,5.234319e-12,1.44302435e-11,0.9999999,1.2936495e-11,1.162132e-07
65,0,0,dandelion,dandelion,0.999966,0.999966,3.3499788e-08,7.2061514e-13,3.396358e-05,6.5279e-12
66,1,1,daisy,daisy,0.99987924,9.620798e-05,0.99987924,2.0494284e-08,2.4552497e-05,2.2083675e-10
68,0,0,dandelion,dandelion,1.0,1.0,3.115235e-08,3.4458936e-10,7.677551e-09,3.3026564e-11
77,3,3,sunflowers,sunflowers,0.99961156,1.2733028e-07,4.8885527e-06,0.00019547043,0.99961156,0.00018803621
90,3,3,sunflowers,sunflowers,0.9993431,0.0006371042,5.7154462e-08,6.837122e-06,0.9993431,1.3002547e-05
119,0,0,dandelion,dandelion,0.9811038,0.9811038,0.015868943,0.0020509416,0.00074669375,0.00022971758
125,2,2,tulips,tulips,0.5101777,0.04835374,0.006038635,0.5101777,0.4296918,0.0057381913
126,1,1,daisy,daisy,1.0,7.464608e-13,1.0,8.121259e-17,4.8336465e-12,2.8084165e-20
131,1,1,daisy,daisy,0.9999846,1.0415445e-11,0.9999846,2.9290814e-13,1.5388807e-05,3.0629237e-14
132,2,2,tulips,tulips,0.64500254,0.07293445,1.1812579e-05,0.64500254,0.27728435,0.004766735
137,3,3,sunflowers,sunflowers,0.8966179,0.03889644,0.00015688033,0.06429088,0.8966179,3.799101e-05
