index,real,predicha,clase_real,clase_predicha,confianza,p_dandelion,p_daisy,p_tulips,p_sunflowers,p_roses
3,4,4,roses,roses,0.6197018,9.724279e-09,4.95456e-07,0.00016966174,0.380128,0.6197018
14,2,2,tulips,tulips,0.691912,0.00040540652,0.30750433,0.691912,0.00016086266,1.7463219e-05
16,1,1,daisy,daisy,0.9999993,3.8416536e-07,0.9999993,3.71124e-08,3.082302e-07,3.0127972e-10
25,1,1,daisy,daisy,0.9998561,1.8390526e-07,0.9998561,4.3657857e-07,0.0001432453,5.184892e-08
30,2,2,tulips,tulips,1.0,6.751005e-14,1.2706225e-09,1.0,1.554545e-08,1.6331866e-09
31,3,3,sunflowers,sunflowers,1.0,5.7297934e-12,6.346539e-12,7.9001535e-13,1.0,7.7107976e-15
39,2,2,tulips,tulips,0.56722736,8.254576e-08,2.42272e-06,0.56722736,4.6585054e-08,0.43277007
45,1,1,daisy,daisy,0.99670595,0.001992431,0.99670595,0.00016521542,0.0010756624,6.0704573e-05
47,1,1,daisy,daisy,0.9999989,3.2763028e-10,0.9999989,6.5366434e-10,1.0674178e-06,1.6842378e-12
48,3,3,sunflowers,sunflowers,1.0,6.26986e-12,7.197533e-10,4.9122395e-19,1.0,2.4305134e-17
54,3,3,sunflowers,sunflowers,0.9934186,0.0003762344,0.004667649,0.0015093617,0.9934186,2.8314476e-05
59,4,4,roses,roses,0.99999964,2.1828279e-13,3.715712e-11,4.0358535e-07,3.431266e-14,0.99999964
63,2,2,tulips,tulips,1.0,1.3104656e-14,2.7095702e-11,1.0,5.5205267e-11,9.855145e-09
65,0,0,dandelion,dandelion,1.0,1.0,1.5570737e-11,2.4489501e-17,7.629656e-09,1.07333e-16
66,1,1,daisy,daisy,0.9999989,7.937748e-07,0.9999989,9.00312e-12,2.794163e-07,7.2992946e-13
68,0,0,dandelion,dandelion,1.0,1.0,4.0419074e-12,1.8740805e-12,1.798866e-11,7.448077e-18
77,3,3,sunflowers,sunflowers,0.9994134,9.974506e-11,3.1896317e-07,0.00033601053,0.9994134,0.00025035124
90,3,3,sunflowers,sunflowers,0.9999795,2.0408304e-05,3.5505206e-11,6.93045e-08,0.9999795,1.3458904e-09
119,0,0,dandelion,dandelion,0.9971476,0.9971476,0.0026065514,0.0002435462,1.2199899e-06,1.1042458e-06
125,2,2,tulips,tulips,0.8274934,0.051762156,0.010325685,0.8274934,0.107749335,0.0026694178
126,1,1,daisy,daisy,1.0,1.4085573e-18,1.0,3.558867e-25,1.5592698e-15,5.6571234e-27
131,1,1,daisy,daisy,1.0,1.237513e-16,1.0,5.126175e-18,1.8203672e-13,2.263892e-22
132,2,2,tulips,tulips,0.99924755,8.944144e-07,2.8153647e-08,0.99924755,0.000723645,2.78857e-05
137,3,3,sunflowers,sunflowers,0.99760866,0.00028129117,7.154822e-07,0.0021057029,0.99760866,3.6358965e-06
148,4,4,roses,roses,0.99272233,2.2278123e-12,1.1880122e-05,0.007265814,1.29723845e-11,0.99272233
156,0,3,dandelion,sunflowers,0.3593486,0.009326733,0.3306866,0.12341102,0.3593486,0.1772271
160,0,0,dandelion,dandelion,0.792369,0.792369,0.20268779,6.486466e-05,0.004416646,0.00046158212
161,0,0,dandelion,dandelion,0.9986266,0.9986266,7.927059e-05,4.4744575e-06,0.00023266682,0.0010570537
162,4,4,roses,roses,1.0,2.3170155e-20,6.9190876e-23,2.0556274e-15,5.5331355e-22,1.0
