index,real,predicha,clase_real,clase_predicha,confianza,p_dandelion,p_daisy,p_tulips,p_sunflowers,p_roses
3,4,4,roses,roses,0.43671042,0.00039679668,0.004045904,0.38267434,0.17617252,0.43671042
14,2,1,tulips,daisy,0.75494486,0.00031333783,0.75494486,0.23822473,0.0064724623,4.4648914e-05
16,1,1,daisy,daisy,0.9999937,5.8870487e-06,0.9999937,2.7265628e-07,2.6305935e-07,2.7334546e-09
25,1,1,daisy,daisy,0.991872,0.0023922292,0.991872,1.08128015e-05,0.005723634,1.3219112e-06
30,2,2,tulips,tulips,0.99999726,3.3818946e-08,5.652064e-07,0.99999726,9.678237e-07,1.184411e-06
31,3,3,sunflowers,sunflowers,0.9999931,3.2239328e-07,2.4483896e-07,6.2953536e-06,0.9999931,3.883761e-09
39,2,2,tulips,tulips,0.94088435,2.9144314e-05,0.00072640623,0.94088435,6.3770813e-06,0.05835371
45,1,1,daisy,daisy,0.9728439,0.02528191,0.9728439,0.00013837795,0.0016907853,4.5085646e-05
47,1,1,daisy,daisy,1.0,1.5787686e-09,1.0,2.2947715e-11,9.435016e-09,7.3381367e-13
48,3,3,sunflowers,sunflowers,1.0,6.1258665e-09,1.7074628e-09,1.0091711e-10,1.0,8.0134434e-13
54,3,3,sunflowers,sunflowers,0.99115855,0.0023678935,0.0047380663,0.0016049304,0.99115855,0.00013055846
59,4,4,roses,roses,0.9987386,2.7001937e-10,3.2840237e-09,0.0012614052,2.310075e-09,0.9987386
63,2,2,tulips,tulips,0.99999917,7.094446e-10,1.9495594e-08,0.99999917,2.5352227e-08,7.8091443e-07
65,0,0,dandelion,dandelion,1.0,1.0,7.564175e-09,2.968202e-13,8.161713e-09,7.727173e-14
66,1,1,daisy,daisy,0.9999999,7.0009676e-08,0.9999999,1.1069075e-11,1.4418985e-08,1.8378743e-12
68,0,0,dandelion,dandelion,1.0,1.0,2.9997962e-09,6.24276e-12,1.3033613e-10,9.34168e-14
77,3,3,sunflowers,sunflowers,0.9773728,0.0005547929,0.00060490746,0.009959694,0.9773728,0.011507845
90,3,3,sunflowers,sunflowers,0.99823797,0.0014749377,2.4931787e-06,0.0002844355,0.99823797,2.0069425e-07
119,0,0,dandelion,dandelion,0.9712683,0.9712683,0.028005328,0.0006956172,2.916312e-05,1.6354994e-06
125,2,2,tulips,tulips,0.49513215,0.13602175,0.036030132,0.49513215,0.31831366,0.014502325
126,1,1,daisy,daisy,1.0,2.6025701e-18,1.0,3.1064376e-22,4.5026614e-16,6.012892e-25
131,1,1,daisy,daisy,0.9999999,3.2519647e-09,0.9999999,1.4025243e-08,5.3503182e-08,3.7091592e-13
132,2,2,tulips,tulips,0.97798675,0.0018894725,0.00041520258,0.97798675,0.019686362,2.229954e-05
137,3,3,sunflowers,sunflowers,0.58959156,0.010930319,0.009887298,0.38932672,0.58959156,0.00026404817
148,4,4,roses,roses,0.9689773,2.369014e-07,3.8489256e-05,0.030983048,9.661675e-07,0.9689773
156,0,1,dandelion,daisy,0.57923937,0.40767378,0.57923937,0.001986692,0.009302714,0.0017975324
160,0,0,dandelion,dandelion,0.8343918,0.8343918,0.16462956,6.67402e-05,0.0008677431,4.4165026e-05
161,0,0,dandelion,dandelion,0.9982529,0.9982529,0.0016192446,2.7690967e-05,6.927487e-05,3.0823703e-05
162,4,4,roses,roses,1.0,6.255744e-22,2.4995513e-22,7.2195356e-09,2.3731203e-20,1.0
169,2,2,tulips,tulips,0.8626728,2.5692314e-06,1.3627885e-05,0.8626728,5.287669e-05,0.13725802
173,3,3,sunflowers,sunflowers,0.9882732,3.6567606e-05,0.011689722,6.153508e-07,0.9882732,1.4669095e-09
177,2,2,tulips,tulips,0.9947937,5.856358e-06,3.7904713e-06,0.9947937,1.0426709e-06,0.005195626
181,3,3,sunflowers,sunflowers,0.9841569,0.0012884865,0.012964842,0.0013622842,0.9841569,0.0002274307
200,4,4,roses,roses,0.999998,2.475943e-16,4.294775e-15,1.9890838e-06,1.0391512e-15,0.999998
205,0,0,dandelion,dandelion,0.9997696,0.9997696,0.00022698849,3.6593752e-07,2.3160917e-06,5.737104e-07
237,1,1,daisy,daisy,1.0,2.2987393e-12,1.0,2.6307512e-16,8.8088814e-11,6.772843e-17
240,1,1,daisy,daisy,0.99943525,0.00011774012,0.99943525,0.00044159137,2.3456764e-06,3.1347936e-06
247,4,2,roses,tulips,0.9478197,6.5155735e-05,0.0016647568,0.9478197,0.000109766384,0.05034071
249,0,0,dandelion,dandelion,0.99999976,0.99999976,2.1851757e-07,1.4436374e-12,7.7391343e-10,4.3531777e-13
250,1,1,daisy,daisy,0.99998796,3.2574903e-06,0.99998796,1.5920069e-08,8.79119e-06,3.5858744e-10
261,4,4,roses,roses,0.9941755,6.541891e-07,7.4744734e-05,0.0057478347,1.3045437e-06,0.9941755
263,3,3,sunflowers,sunflowers,1.0,2.0005642e-09,1.9845884e-11,4.8490795e-11,1.0,2.1213126e-19
268,0,1,dandelion,daisy,0.9982273,0.0010948116,0.9982273,6.829726e-05,0.00060408993,5.5912997e-06
279,3,3,sunflowers,sunflowers,0.9997453,9.828311e-05,2.3355198e-05,9.156216e-05,0.9997453,4.144771e-05
281,2,2,tulips,tulips,0.8128796,0.0002669262,0.001574652,0.8128796,0.027926527,0.15735236
291,0,0,dandelion,dandelion,0.6415833,0.6415833,0.011317228,0.14870737,0.038317434,0.1600746
349,2,2,tulips,tulips,0.5158597,0.110734835,0.052854855,0.5158597,0.1879669,0.13258375
354,4,4,roses,roses,0.93709075,2.76593e-05,0.00039506154,0.062481415,5.1271386e-06,0.93709075
361,0,0,dandelion,dandelion,1.0,1.0,7.139053e-11,3.469755e-14,6.786253e-13,3.9863684e-16
